Country,Year,Attack_Type,Target_Industry,Financial_Loss ,Affected_Users,Attack_Source,Vulnerability_Type,Defense_Mechanism,Resolution_time ,Risk_score,Threat_level,Attack_severity
France,2018,DDoS,IT,75.88,822364,Unknown,Zero-day,VPN,71,0.778012403,High,Critical
India,2021,SQL Injection,Government,75.25,597509,Nation-state,Social Engineering,Firewall,20,0.706120831,High,Moderate
Brazil,2023,Man-in-the-Middle,Telecommunications,90.37,705678,Hacker Group,Zero-day,Antivirus,57,0.844433965,High,Moderate
France,2020,Phishing,Retail,14.45,309967,Unknown,Zero-day,Firewall,26,0.19418417,Low,Moderate
France,2022,Ransomware,Banking,54.47,604250,Unknown,Social Engineering,AI-based Detection,63,0.562669322,Medium,Moderate
India,2024,Ransomware,IT,33.66,131900,Unknown,Unpatched Software,Antivirus,21,0.275228013,Low,Low
Australia,2022,Ransomware,Government,84.51,305494,Insider,Social Engineering,Firewall,19,0.683310827,High,Moderate
Brazil,2023,Malware,Healthcare,61.56,907121,Unknown,Social Engineering,VPN,33,0.703198762,High,Critical
India,2024,Phishing,Banking,23.32,879162,Unknown,Zero-day,VPN,38,0.427101229,Medium,Critical
Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237,Unknown,Unpatched Software,Firewall,52,0.32317797,Low,Low
Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67,0.284016497,Low,Critical
China,2017,Phishing,IT,71.40,698847,Insider,Zero-day,AI-based Detection,17,0.709580637,High,Moderate
India,2022,Man-in-the-Middle,Banking,90.87,928859,Unknown,Unpatched Software,Firewall,32,0.914913063,High,Critical
India,2017,SQL Injection,IT,78.94,858565,Unknown,Weak Passwords,Encryption,29,0.810298811,High,Critical
China,2022,Malware,Telecommunications,34.33,571265,Unknown,Unpatched Software,Firewall,17,0.41177611,Medium,Moderate
Russia,2015,DDoS,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62,0.362333157,Medium,Moderate
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32,0.452516115,Medium,Low
France,2018,DDoS,Banking,50.75,670630,Nation-state,Zero-day,Antivirus,4,0.556547989,Medium,Moderate
China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72,0.588493393,Medium,Moderate
USA,2016,Man-in-the-Middle,Retail,23.35,952463,Nation-state,Unpatched Software,Antivirus,26,0.449309579,Medium,Critical
UK,2020,DDoS,Government,78.32,624619,Unknown,Weak Passwords,AI-based Detection,67,0.73574895,High,Moderate
China,2018,Phishing,Healthcare,20.22,363934,Insider,Weak Passwords,Firewall,24,0.250774221,Low,Moderate
Japan,2017,SQL Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22,0.245503109,Low,Low
UK,2021,DDoS,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26,0.282807162,Low,Moderate
Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40,0.316137824,Low,Low
Australia,2018,DDoS,Healthcare,90.40,536357,Nation-state,Weak Passwords,Encryption,55,0.793829139,High,Moderate
USA,2017,Phishing,Government,55.34,785099,Insider,Social Engineering,Encryption,29,0.623034442,Medium,Critical
France,2019,DDoS,Healthcare,27.89,460544,Unknown,Weak Passwords,Firewall,29,0.333463173,Medium,Moderate
France,2020,Ransomware,Education,66.04,881755,Unknown,Zero-day,Firewall,10,0.72694932,High,Critical
India,2024,SQL Injection,Telecommunications,10.24,213393,Unknown,Social Engineering,Encryption,49,0.135728444,Low,Low
UK,2017,Man-in-the-Middle,Telecommunications,43.82,213979,Hacker Group,Unpatched Software,Firewall,10,0.370987816,Medium,Low
UK,2021,Malware,Telecommunications,3.17,570243,Insider,Unpatched Software,Antivirus,51,0.193327584,Low,Moderate
Brazil,2016,Malware,Government,72.73,47624,Nation-state,Weak Passwords,Firewall,70,0.523453333,Medium,Low
China,2024,Man-in-the-Middle,Banking,16.09,72940,Nation-state,Zero-day,VPN,26,0.134531254,Low,Low
Japan,2020,Malware,Telecommunications,98.14,710142,Insider,Zero-day,AI-based Detection,56,0.900169094,High,Moderate
Japan,2023,Malware,Retail,51.91,360524,Hacker Group,Unpatched Software,Firewall,47,0.471603032,Medium,Moderate
France,2017,Phishing,IT,55.90,309259,Insider,Zero-day,AI-based Detection,3,0.48415071,Medium,Moderate
UK,2024,Phishing,Government,30.68,393201,Nation-state,Social Engineering,Firewall,3,0.332784849,Low,Moderate
Germany,2020,Ransomware,IT,65.20,306799,Unknown,Zero-day,Encryption,61,0.548518951,Medium,Moderate
Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53,0.582554656,Medium,Low
India,2017,Phishing,Retail,97.87,113745,Unknown,Unpatched Software,Encryption,2,0.719294475,High,Low
Japan,2024,Ransomware,Banking,24.22,584428,Nation-state,Weak Passwords,Firewall,34,0.344949374,Medium,Moderate
France,2020,Ransomware,Healthcare,3.27,178268,Nation-state,Unpatched Software,Antivirus,2,0.076392217,Low,Low
China,2022,Phishing,Retail,33.69,338578,Unknown,Social Engineering,AI-based Detection,38,0.337464073,Medium,Moderate
China,2024,DDoS,Healthcare,7.31,972407,Hacker Group,Zero-day,Encryption,51,0.343003735,Medium,Critical
Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54,0.354871176,Medium,Critical
Australia,2015,Malware,Healthcare,62.34,796100,Hacker Group,Social Engineering,AI-based Detection,20,0.675340847,Medium,Critical
UK,2016,Man-in-the-Middle,Banking,76.06,530253,Unknown,Weak Passwords,Encryption,28,0.691607231,High,Moderate
Australia,2024,Man-in-the-Middle,Government,50.36,165496,Nation-state,Weak Passwords,Encryption,72,0.402222184,Medium,Low
Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44,0.39496638,Medium,Moderate
India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72,0.200430747,Low,Moderate
China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31,0.735514129,High,Low
Japan,2022,Man-in-the-Middle,Retail,44.34,516125,Unknown,Zero-day,Firewall,67,0.465305077,Medium,Moderate
Australia,2021,Man-in-the-Middle,Telecommunications,67.72,393335,Hacker Group,Social Engineering,Antivirus,31,0.592130995,Medium,Moderate
UK,2018,SQL Injection,Government,34.09,197436,Unknown,Zero-day,Antivirus,10,0.297906293,Low,Low
France,2022,DDoS,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65,0.356349611,Medium,Moderate
Australia,2018,DDoS,Healthcare,20.39,913090,Unknown,Zero-day,VPN,2,0.416771294,Medium,Critical
Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56,0.381083993,Medium,Moderate
India,2022,SQL Injection,Healthcare,77.30,826937,Unknown,Zero-day,AI-based Detection,64,0.789325798,High,Critical
Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39,0.831834483,High,Moderate
UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45,0.145048784,Low,Moderate
UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4,0.65917655,Medium,Moderate
Australia,2020,Malware,Banking,42.30,497035,Hacker Group,Zero-day,AI-based Detection,66,0.445294558,Medium,Moderate
Brazil,2023,Phishing,Government,72.57,720220,Unknown,Weak Passwords,Firewall,71,0.724185697,High,Moderate
Russia,2019,Phishing,Government,93.70,808318,Nation-state,Social Engineering,Antivirus,57,0.89854954,High,Critical
Germany,2022,SQL Injection,IT,68.63,294981,Unknown,Zero-day,AI-based Detection,3,0.568984658,Medium,Moderate
USA,2017,Phishing,Healthcare,52.70,281182,Nation-state,Zero-day,Encryption,27,0.453322294,Medium,Moderate
Australia,2017,Ransomware,Education,66.56,95750,Nation-state,Zero-day,Antivirus,44,0.494702085,Medium,Low
Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16,0.901148041,High,Critical
Russia,2017,Man-in-the-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29,0.271736338,Low,Moderate
Brazil,2016,SQL Injection,Retail,40.29,206598,Unknown,Zero-day,Encryption,45,0.344060237,Medium,Low
Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54,0.44926005,Medium,Low
Russia,2024,SQL Injection,Government,63.45,492909,Unknown,Zero-day,AI-based Detection,42,0.592121113,Medium,Moderate
UK,2021,Man-in-the-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16,0.651341009,Medium,Moderate
Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67,0.347481173,Medium,Moderate
Australia,2016,Malware,Healthcare,80.22,124155,Nation-state,Weak Passwords,Encryption,40,0.59885626,Medium,Low
China,2024,Malware,Retail,34.49,897277,Unknown,Zero-day,VPN,55,0.510735533,Medium,Critical
USA,2017,SQL Injection,Healthcare,51.26,28682,Hacker Group,Zero-day,VPN,44,0.367463627,Medium,Low
Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44,0.665116565,Medium,Moderate
Australia,2018,SQL Injection,IT,19.14,171977,Unknown,Zero-day,Antivirus,44,0.185605338,Low,Low
UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36,0.554091411,Medium,Critical
Japan,2021,DDoS,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7,0.370624173,Medium,Critical
USA,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2,0.538979455,Medium,Moderate
USA,2021,Man-in-the-Middle,Telecommunications,42.29,817386,Nation-state,Zero-day,Firewall,8,0.541364942,Medium,Critical
India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13,0.738185845,High,Low
Brazil,2020,Man-in-the-Middle,Education,71.35,154966,Hacker Group,Zero-day,Antivirus,19,0.546006725,Medium,Low
France,2016,Phishing,Banking,54.50,511287,Unknown,Unpatched Software,Antivirus,34,0.53498026,Medium,Moderate
Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37,0.789422561,High,Moderate
UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36,0.520235389,Medium,Low
UK,2022,Phishing,Education,36.15,375734,Nation-state,Weak Passwords,AI-based Detection,31,0.365836665,Medium,Moderate
Brazil,2023,Malware,Government,19.18,993826,Unknown,Zero-day,Firewall,7,0.432530091,Medium,Critical
India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12,0.701705708,High,Moderate
France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3,0.552430256,Medium,Low
Japan,2024,DDoS,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10,0.297688233,Low,Critical
Brazil,2015,SQL Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37,0.692059545,High,Moderate
Brazil,2018,Malware,Education,33.12,724513,Nation-state,Zero-day,VPN,46,0.449296449,Medium,Moderate
UK,2024,SQL Injection,Telecommunications,54.10,715395,Unknown,Social Engineering,VPN,60,0.593434738,Medium,Moderate
France,2020,Ransomware,Telecommunications,75.13,177097,Unknown,Unpatched Software,Encryption,15,0.579111095,Medium,Low
Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11,0.516589234,Medium,Moderate
UK,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50,0.432626315,Medium,Critical
USA,2019,SQL Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4,0.238155386,Low,Moderate
Germany,2020,SQL Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50,0.487212379,Medium,Moderate
USA,2018,Malware,Education,77.07,10600,Insider,Social Engineering,Firewall,47,0.542725116,Medium,Low
France,2016,SQL Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26,0.251847051,Low,Moderate
India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28,0.466115,Medium,Moderate
Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47,0.702238434,High,Low
China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38,0.311980738,Low,Moderate
Japan,2018,SQL Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59,0.209100795,Low,Moderate
Germany,2023,Malware,Telecommunications,3.86,51176,Unknown,Social Engineering,Encryption,61,0.042381108,Low,Low
Germany,2016,SQL Injection,IT,34.35,918452,Unknown,Weak Passwords,AI-based Detection,16,0.516110255,Medium,Critical
Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33,0.640360389,Medium,Low
USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29,0.67274191,Medium,Moderate
USA,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16,0.642826017,Medium,Low
Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21,0.480120312,Medium,Moderate
Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35,0.66503339,Medium,Moderate
France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71,0.814092908,High,Critical
China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56,0.817817614,High,Critical
USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27,0.594647637,Medium,Low
Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66,0.68283451,High,Critical
Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67,0.48230798,Medium,Critical
Japan,2023,Man-in-the-Middle,Retail,36.68,231307,Unknown,Zero-day,Encryption,4,0.326203116,Low,Low
China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60,0.747402692,High,Critical
USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33,0.389628687,Medium,Critical
UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28,0.620666422,Medium,Critical
China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47,0.106512534,Low,Low
Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56,0.12080599,Low,Moderate
USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68,0.148710735,Low,Low
France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46,0.38767009,Medium,Critical
Japan,2015,Malware,Telecommunications,28.80,915532,Insider,Zero-day,Encryption,68,0.476380049,Medium,Critical
USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23,0.923255216,High,Moderate
Brazil,2018,Malware,Education,6.30,661644,Insider,Social Engineering,AI-based Detection,29,0.242670087,Low,Moderate
UK,2019,DDoS,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13,0.721020839,High,Low
Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39,0.594133741,Medium,Critical
India,2017,DDoS,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23,0.608477105,Medium,Low
USA,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35,0.738838837,High,Moderate
Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41,0.642408227,Medium,Low
Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64,0.757920596,High,Critical
Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32,0.692696564,High,Low
Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56,0.565383077,Medium,Low
Germany,2016,SQL Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51,0.657006359,Medium,Critical
USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11,0.865206402,High,Moderate
Russia,2021,DDoS,Banking,45.60,759356,Insider,Social Engineering,VPN,1,0.547121903,Medium,Critical
Brazil,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9,0.685540328,High,Moderate
India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57,0.738105868,High,Critical
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57,0.169246003,Low,Low
Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60,0.363441881,Medium,Moderate
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17,0.720915276,High,Critical
India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5,0.727390928,High,Critical
Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31,0.744634791,High,Low
Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49,0.348685789,Medium,Critical
India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11,0.626758404,Medium,Critical
Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27,0.409122882,Medium,Moderate
China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48,0.553701656,Medium,Moderate
France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11,0.467114744,Medium,Moderate
USA,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11,0.218812235,Low,Moderate
Brazil,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2,0.370655633,Medium,Moderate
Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32,0.540156395,Medium,Low
India,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36,0.218198285,Low,Low
Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72,0.799738641,High,Moderate
UK,2022,Ransomware,IT,63.67,560021,Unknown,Zero-day,Encryption,43,0.613802218,Medium,Moderate
Japan,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11,0.657888707,Medium,Critical
Australia,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58,0.506331415,Medium,Moderate
India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2,0.580025133,Medium,Low
France,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17,0.34008388,Medium,Critical
UK,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3,0.232013213,Low,Low
France,2019,Man-in-the-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31,0.700558628,High,Moderate
Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13,0.461387624,Medium,Moderate
India,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5,0.674129915,Medium,Moderate
Japan,2018,SQL Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66,0.494344776,Medium,Low
China,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33,0.43946068,Medium,Moderate
Germany,2019,DDoS,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66,0.250991511,Low,Moderate
Australia,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66,0.460700528,Medium,Moderate
France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43,0.768124703,High,Critical
UK,2023,DDoS,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35,0.707060329,High,Moderate
UK,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10,0.899800935,High,Moderate
USA,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21,0.797797419,High,Moderate
USA,2020,SQL Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33,0.527893811,Medium,Critical
Japan,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60,0.193506229,Low,Low
Germany,2022,SQL Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37,0.337970006,Medium,Critical
UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42,0.552582756,Medium,Moderate
India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44,0.523330067,Medium,Critical
China,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46,0.907744125,High,Critical
France,2015,Man-in-the-Middle,Education,17.94,808798,Unknown,Social Engineering,Encryption,60,0.368320555,Medium,Critical
Russia,2018,Man-in-the-Middle,Telecommunications,30.50,401208,Hacker Group,Unpatched Software,VPN,10,0.3339277,Medium,Moderate
Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44,0.655696868,Medium,Moderate
USA,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70,0.56481734,Medium,Low
Australia,2024,SQL Injection,Retail,66.49,709125,Hacker Group,Weak Passwords,AI-based Detection,37,0.678291725,High,Moderate
Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67,0.234260617,Low,Moderate
India,2020,Ransomware,Healthcare,10.46,32616,Unknown,Unpatched Software,Firewall,63,0.083015695,Low,Low
Australia,2017,Phishing,Healthcare,39.30,290846,Unknown,Weak Passwords,Firewall,3,0.362413172,Medium,Moderate
India,2023,DDoS,Banking,23.83,557428,Insider,Unpatched Software,VPN,38,0.334116143,Medium,Moderate
Japan,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8,0.46870338,Medium,Low
Australia,2021,DDoS,Government,30.24,292383,Insider,Social Engineering,Encryption,71,0.299448098,Low,Moderate
France,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44,0.637730104,Medium,Low
USA,2015,DDoS,IT,66.39,365006,Insider,Weak Passwords,VPN,47,0.57431826,Medium,Moderate
Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33,0.6095072,Medium,Moderate
USA,2022,Malware,Retail,7.65,864358,Hacker Group,Unpatched Software,VPN,11,0.312957437,Low,Critical
USA,2016,Ransomware,Retail,9.82,610968,Unknown,Unpatched Software,Antivirus,26,0.2521042,Low,Moderate
China,2016,DDoS,IT,67.28,413150,Hacker Group,Social Engineering,Firewall,27,0.594997357,Medium,Moderate
USA,2017,Malware,Education,13.14,681956,Nation-state,Social Engineering,Antivirus,35,0.2966507,Low,Moderate
Australia,2016,Man-in-the-Middle,IT,84.46,94162,Unknown,Weak Passwords,Firewall,15,0.619538042,Medium,Low
France,2023,Man-in-the-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72,0.235579092,Low,Moderate
France,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20,0.717479133,High,Moderate
Russia,2021,DDoS,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19,0.405395856,Medium,Moderate
USA,2024,SQL Injection,Banking,7.20,312607,Hacker Group,Weak Passwords,Antivirus,24,0.144221383,Low,Moderate
Russia,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7,0.94817902,High,Critical
Australia,2015,Malware,Healthcare,42.15,680874,Unknown,Zero-day,Antivirus,8,0.499416291,Medium,Moderate
France,2018,DDoS,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4,0.381511107,Medium,Critical
USA,2022,SQL Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6,0.818171571,High,Moderate
USA,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35,0.6195386,Medium,Critical
China,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44,0.480671745,Medium,Moderate
UK,2019,Phishing,Education,99.45,467349,Nation-state,Zero-day,Firewall,44,0.836475515,High,Moderate
France,2021,SQL Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28,0.51687581,Medium,Low
Australia,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25,0.282525553,Low,Critical
China,2020,SQL Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66,0.902870431,High,Critical
USA,2024,Phishing,IT,58.57,630793,Hacker Group,Social Engineering,AI-based Detection,64,0.599338,Medium,Moderate
France,2015,SQL Injection,Education,65.83,691903,Unknown,Zero-day,VPN,54,0.668502777,Medium,Moderate
UK,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8,0.598690097,Medium,Low
Australia,2017,Phishing,Banking,90.50,42278,Insider,Weak Passwords,AI-based Detection,45,0.646251387,Medium,Low
Germany,2016,Phishing,IT,2.10,176471,Unknown,Zero-day,VPN,9,0.067662101,Low,Low
India,2015,SQL Injection,Telecommunications,63.72,916516,Hacker Group,Social Engineering,Encryption,68,0.721139804,High,Critical
Japan,2023,SQL Injection,Government,87.80,510002,Hacker Group,Social Engineering,Firewall,62,0.767717932,High,Moderate
UK,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51,0.70805368,High,Moderate
India,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55,0.624736234,Medium,Moderate
Russia,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50,0.532562583,Medium,Critical
Japan,2021,DDoS,Government,35.46,937562,Unknown,Zero-day,Firewall,10,0.529616125,Medium,Critical
France,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5,0.195971928,Low,Moderate
China,2022,DDoS,Government,80.76,346279,Unknown,Zero-day,Encryption,59,0.669298169,Medium,Moderate
Brazil,2016,DDoS,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63,0.340233198,Medium,Critical
France,2018,SQL Injection,Healthcare,0.95,376206,Unknown,Unpatched Software,Antivirus,44,0.119553675,Low,Moderate
India,2018,Ransomware,IT,27.14,227433,Unknown,Unpatched Software,Antivirus,13,0.258253813,Low,Low
Germany,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39,0.501745191,Medium,Moderate
Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42,0.446354208,Medium,Moderate
Brazil,2024,Man-in-the-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14,0.198028995,Low,Moderate
India,2017,Ransomware,Education,98.11,677198,Unknown,Social Engineering,VPN,28,0.890072264,High,Moderate
Russia,2024,Man-in-the-Middle,Healthcare,9.40,480988,Nation-state,Unpatched Software,Encryption,59,0.210155668,Low,Moderate
Australia,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61,0.506489607,Medium,Moderate
Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31,0.487679216,Medium,Critical
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3,0.423825505,Medium,Moderate
Australia,2017,Man-in-the-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2,0.410965617,Medium,Low
